question_text,A,B,C,D,key_answer
I enjoy studying geography at school and now I have enrolled at the Economics Faculty.,enjoy,studying,enrolled,Economics,A
The teachers are expecting to calling a meeting tomorrow in order to review the disciplinary problems,expecting,calling,meeting,the,B
I want some meet your sister when she comes to see you she sounds very nice.,I,some,when,very,B
My friends tell mine the English exam is quite difficult but I am not worried.,mine,exam,quite,not,A
"The tickets, which are extremely good value, can be buy from large supermarkets.",tickets,which,good,buy,D
The number of people who asked for the discount been low but grew during the summer period.,who,asked,been,grew,C
He wanted always to be a doctor and after doing medicine he now works in a hospital.,wanted,a,after,works,A
The informations they give us was not very helpful so I consulted the website instead.,informations,give,helpful,so,B
"There isn’t much time, do you think we should get a taxi beneath the exhibition centre?.",much,do,think,beneath,D
He graduated in languages in June and is now thinking of do a second degree in psychology.,in,is,thinking,do,D
The policeman show us an identical picture of the man who stole the car.,show,identical,stole,the,A
I was so angry that I took the broken watch to the jewellers to got my money back.,was,so,to,got,D
He rang me this morning along tell me that he had passed his driving test.,rang,along,had,driving,B
I will not be able to go in holiday this year unless I will get a part-time job.,be,in,this,unless,B
It being such a nice day that they decided to have a picnic in the field.,being,such,that,in,A
I haven't never seen anybody who rides a horse so well before.,haven't,anybody,rides,so well,A
"My boyfriend always taking me to see horror films, but I do not like them.",My,boyfriend,taking,do,C
We went to Guatemala last year of we were tired of the usual beach holiday.,went,of,tired,the,B
"After quartz, calcite is the most abundant mineral aboard the crust of the Earth.",After,most,aboard,of,C
"Regards as the world’s foremost linguistic theorist, Noam Chomsky continues to create new theories about language and language learning.",Regards,the,Chomsky,to,A
"Whenever any area receives more water than the ground can absorb, the excess water flows to the lowest level, carried loose mineral.",Whenever,than,to,carried,D
In 1935 seismologist Charles F Richter devise a numerical scale for rating the strength of earthquakes.,In,devise,for,of,B
After a Second World War the woman wage earner became a standard part of middle-class life in the United States.,After,a,Second,became,B
"Celluloid and plastics have largely replaced genuine ivory in the manufacture like such things as buttons, billiard balls, and piano keys.",have,replaced,in,like,D
One of the tenets during New Criticism is that a critic need not tell readers what to think about a story.,the,during,is,what,B
"The outer ear, which included the fleshy pinna and the auditory canal, picks up and funnels sound waves toward the eardrum.",The,included,picks,toward,B
"An chair may be the oldest type of furniture, although its importance has varied from time to time and from country to country.",An,of,although,varied,A
"When wood, natural gas, oil, or any other fuel burns, substances in the fuel was combined with oxygen in the air to produce heat.",in,was,with,produce,B
Deserts are arid land areas where more water was lost through evaporation than is gained through precipitation.,are,land,was,lost,C
"When goshawk chicks are young, both parents had shared in the hunting duties and in guarding the nest.",goshawk,are,had shared,the,C
"Not only is whales among the largest animals that ever lived, but they are also among the most intelligent.",is,that,are,the,A
"Fish are the most ancient form of vertebrate life, and from them have evolved all other vertebrates.",are,ancient,of,have evolved,D
"There is about 350 species of sharks, and although they are all carnivorous, only a few species will attack people.",is,about,are,all,A
"In the United States, there are many holidays throughout a year.",the,there,many,a,D
Tomatoes growing all year long in Florida.,Tomatoes,growing,all,in,B
Even thinks my aunt lost the beauty contest she is still the prettiest of all the other contestants.,thinks,lost,is,prettiest,A
The thief who stole my watch was compelling to restore it again.,who,compelling,to,it,B
I try to figuring out the answer of what the function of the organization is.,figuring,of,what,is,A
"The huge have increased in popularity of specialty coffees has contributed to the success of Starbucks, Barney’s and other coffee purveyors.",huge,have increased,contributed,and,B
